"2025 rates listed are subject to change until final on February 1, 2026",,,,,,,,,
CountyName,LocalUnitName,RevShareCode,City,VillageName,SchoolName,SchoolCode,TotalRate,HomesteadRate,NonHomesteadRate
Alcona,Alcona,011010,0,,ALCONA COMMUNITY SCHOOLS,01010,20.2097,20.2097,38.2097
Alcona,Caledonia,011020,0,,ALCONA COMMUNITY SCHOOLS,01010,19.2181,19.2181,37.2181
Alcona,Curtis,011030,0,,OSCODA AREA SCHOOLS,35010,21.0550,21.0550,39.0550
Alcona,Greenbush,011040,0,,OSCODA AREA SCHOOLS,35010,20.5293,20.5293,38.5293
Alcona,Gustin,011050,0,,ALCONA COMMUNITY SCHOOLS,01010,20.4251,20.4251,38.4251
Alcona,Gustin,011050,0,LINCOLN,ALCONA COMMUNITY SCHOOLS,01010,27.8951,27.8951,45.8951
Alcona,Gustin,011050,0,,OSCODA AREA SCHOOLS,35010,21.6125,21.6125,39.6125
Alcona,Harrisville,011060,0,,ALCONA COMMUNITY SCHOOLS,01010,18.7411,18.7411,36.7411
Alcona,Hawes,011070,0,,ALCONA COMMUNITY SCHOOLS,01010,20.7195,20.7195,38.7195
Alcona,Hawes,011070,0,LINCOLN,ALCONA COMMUNITY SCHOOLS,01010,28.1895,28.1895,46.1895
Alcona,Haynes,011080,0,,ALCONA COMMUNITY SCHOOLS,01010,18.2338,18.2338,36.2338
Alcona,Mikado,011090,0,,ALCONA COMMUNITY SCHOOLS,01010,21.2642,21.2642,39.2642
Alcona,Mikado,011090,0,,OSCODA AREA SCHOOLS,35010,22.4516,22.4516,40.4516
Alcona,Millen,011100,0,,ALCONA COMMUNITY SCHOOLS,01010,21.2485,21.2485,39.2485
Alcona,Mitchell,011110,0,,FAIRVIEW AREA SCHOOL DIST.,68030,19.5826,19.5826,37.5826
Alcona,Harrisville,012010,1,,ALCONA COMMUNITY SCHOOLS,01010,25.7147,25.7147,43.7147
Alger,Au Train,021010,0,,AUTRAIN-ONOTA PUBLIC SCHOOLS,02010,27.2829,27.2829,45.2829
